Town ID,Town name,Registered voters,Issued envelopes,Valid votes,Občanská demokratická strana – Votes,Občanská demokratická strana – %,Řád národa - Vlastenecká unie – Votes,Řád národa - Vlastenecká unie – %,CESTA ODPOVĚDNÉ SPOLEČNOSTI – Votes,CESTA ODPOVĚDNÉ SPOLEČNOSTI – %,Česká str.sociálně demokrat. – Votes,Česká str.sociálně demokrat. – %,Radostné Česko – Votes,Radostné Česko – %,STAROSTOVÉ A NEZÁVISLÍ – Votes,STAROSTOVÉ A NEZÁVISLÍ – %,Komunistická str.Čech a Moravy – Votes,Komunistická str.Čech a Moravy – %,Strana zelených – Votes,Strana zelených – %,"ROZUMNÍ-stop migraci,diktát.EU – Votes","ROZUMNÍ-stop migraci,diktát.EU – %",Strana svobodných občanů – Votes,Strana svobodných občanů – %,Blok proti islam.-Obran.domova – Votes,Blok proti islam.-Obran.domova – %,Občanská demokratická aliance – Votes,Občanská demokratická aliance – %,Česká pirátská strana – Votes,Česká pirátská strana – %,Unie H.A.V.E.L. – Votes,Unie H.A.V.E.L. – %,Referendum o Evropské unii – Votes,Referendum o Evropské unii – %,TOP 09 – Votes,TOP 09 – %,ANO 2011 – Votes,ANO 2011 – %,Dobrá volba 2016 – Votes,Dobrá volba 2016 – %,SPR-Republ.str.Čsl. M.Sládka – Votes,SPR-Republ.str.Čsl. M.Sládka – %,Křesť.demokr.unie-Čs.str.lid. – Votes,Křesť.demokr.unie-Čs.str.lid. – %,Česká strana národně sociální – Votes,Česká strana národně sociální – %,REALISTÉ – Votes,REALISTÉ – %,SPORTOVCI – Votes,SPORTOVCI – %,Dělnic.str.sociální spravedl. – Votes,Dělnic.str.sociální spravedl. – %,Svob.a př.dem.-T.Okamura (SPD) – Votes,Svob.a př.dem.-T.Okamura (SPD) – %,Strana Práv Občanů – Votes,Strana Práv Občanů – %
539775,Tursko,617,392,390,63,"16,15 %",0,"0,00 %",0,"0,00 %",14,"3,58 %",0,"0,00 %",19,"4,87 %",35,"8,97 %",3,"0,76 %",10,"2,56 %",10,"2,56 %",0,"0,00 %",0,"0,00 %",57,"14,61 %",0,"0,00 %",1,"0,25 %",44,"11,28 %",89,"22,82 %",0,"0,00 %",0,"0,00 %",10,"2,56 %",0,"0,00 %",3,"0,76 %",0,"0,00 %",0,"0,00 %",30,"7,69 %",2,"0,51 %"
571351,Úholičky,582,402,400,45,"11,25 %",0,"0,00 %",0,"0,00 %",18,"4,50 %",0,"0,00 %",38,"9,50 %",27,"6,75 %",7,"1,75 %",5,"1,25 %",5,"1,25 %",0,"0,00 %",0,"0,00 %",58,"14,50 %",1,"0,25 %",2,"0,50 %",48,"12,00 %",115,"28,75 %",0,"0,00 %",0,"0,00 %",11,"2,75 %",0,"0,00 %",0,"0,00 %",0,"0,00 %",0,"0,00 %",19,"4,75 %",1,"0,25 %"
532991,Úhonice,872,604,595,87,"14,62 %",2,"0,33 %",0,"0,00 %",29,"4,87 %",0,"0,00 %",37,"6,21 %",66,"11,09 %",2,"0,33 %",4,"0,67 %",15,"2,52 %",0,"0,00 %",0,"0,00 %",79,"13,27 %",0,"0,00 %",0,"0,00 %",34,"5,71 %",161,"27,05 %",1,"0,16 %",0,"0,00 %",21,"3,52 %",0,"0,00 %",3,"0,50 %",2,"0,33 %",0,"0,00 %",49,"8,23 %",3,"0,50 %"
539805,Únětice,501,393,391,61,"15,60 %",0,"0,00 %",0,"0,00 %",14,"3,58 %",0,"0,00 %",69,"17,64 %",25,"6,39 %",4,"1,02 %",0,"0,00 %",6,"1,53 %",0,"0,00 %",0,"0,00 %",54,"13,81 %",0,"0,00 %",0,"0,00 %",50,"12,78 %",60,"15,34 %",0,"0,00 %",0,"0,00 %",20,"5,11 %",1,"0,25 %",2,"0,51 %",1,"0,25 %",0,"0,00 %",24,"6,13 %",0,"0,00 %"
539813,Velké Přílepy,2 195,1 602,1 588,302,"19,01 %",2,"0,12 %",1,"0,06 %",76,"4,78 %",0,"0,00 %",136,"8,56 %",62,"3,90 %",24,"1,51 %",10,"0,62 %",28,"1,76 %",1,"0,06 %",4,"0,25 %",257,"16,18 %",2,"0,12 %",6,"0,37 %",194,"12,21 %",285,"17,94 %",1,"0,06 %",1,"0,06 %",59,"3,71 %",0,"0,00 %",9,"0,56 %",0,"0,00 %",2,"0,12 %",126,"7,93 %",0,"0,00 %"
513458,Vestec,1 421,1 036,1 032,188,"18,21 %",1,"0,09 %",2,"0,19 %",35,"3,39 %",1,"0,09 %",75,"7,26 %",25,"2,42 %",24,"2,32 %",4,"0,38 %",34,"3,29 %",2,"0,19 %",0,"0,00 %",183,"17,73 %",0,"0,00 %",0,"0,00 %",113,"10,94 %",233,"22,57 %",0,"0,00 %",1,"0,09 %",29,"2,81 %",0,"0,00 %",8,"0,77 %",0,"0,00 %",1,"0,09 %",72,"6,97 %",1,"0,09 %"
539830,Vonoklasy,426,305,304,81,"26,64 %",0,"0,00 %",0,"0,00 %",23,"7,56 %",0,"0,00 %",19,"6,25 %",15,"4,93 %",6,"1,97 %",2,"0,65 %",1,"0,32 %",0,"0,00 %",1,"0,32 %",50,"16,44 %",0,"0,00 %",0,"0,00 %",28,"9,21 %",55,"18,09 %",0,"0,00 %",1,"0,32 %",7,"2,30 %",0,"0,00 %",2,"0,65 %",0,"0,00 %",1,"0,32 %",12,"3,94 %",0,"0,00 %"
539848,Vrané nad Vltavou,1 964,1 313,1 307,224,"17,13 %",1,"0,07 %",0,"0,00 %",41,"3,13 %",0,"0,00 %",101,"7,72 %",68,"5,20 %",29,"2,21 %",7,"0,53 %",20,"1,53 %",0,"0,00 %",2,"0,15 %",221,"16,90 %",2,"0,15 %",3,"0,22 %",139,"10,63 %",305,"23,33 %",3,"0,22 %",0,"0,00 %",35,"2,67 %",0,"0,00 %",5,"0,38 %",6,"0,45 %",0,"0,00 %",88,"6,73 %",7,"0,53 %"
539856,Všenory,1 293,929,916,157,"17,13 %",1,"0,10 %",0,"0,00 %",33,"3,60 %",0,"0,00 %",68,"7,42 %",20,"2,18 %",15,"1,63 %",3,"0,32 %",17,"1,85 %",0,"0,00 %",2,"0,21 %",152,"16,59 %",0,"0,00 %",0,"0,00 %",106,"11,57 %",202,"22,05 %",0,"0,00 %",0,"0,00 %",47,"5,13 %",1,"0,10 %",15,"1,63 %",2,"0,21 %",0,"0,00 %",74,"8,07 %",1,"0,10 %"
571288,Zahořany,239,171,169,27,"15,97 %",1,"0,59 %",0,"0,00 %",6,"3,55 %",1,"0,59 %",14,"8,28 %",2,"1,18 %",6,"3,55 %",0,"0,00 %",0,"0,00 %",0,"0,00 %",1,"0,59 %",34,"20,11 %",0,"0,00 %",0,"0,00 %",17,"10,05 %",43,"25,44 %",0,"0,00 %",0,"0,00 %",6,"3,55 %",0,"0,00 %",0,"0,00 %",0,"0,00 %",0,"0,00 %",10,"5,91 %",1,"0,59 %"
539872,Zbuzany,854,598,591,86,"14,55 %",2,"0,33 %",1,"0,16 %",17,"2,87 %",0,"0,00 %",30,"5,07 %",16,"2,70 %",20,"3,38 %",1,"0,16 %",11,"1,86 %",0,"0,00 %",0,"0,00 %",123,"20,81 %",0,"0,00 %",0,"0,00 %",88,"14,89 %",134,"22,67 %",0,"0,00 %",0,"0,00 %",18,"3,04 %",0,"0,00 %",5,"0,84 %",0,"0,00 %",1,"0,16 %",36,"6,09 %",2,"0,33 %"
539881,Zlatníky-Hodkovice,982,660,655,98,"14,96 %",0,"0,00 %",1,"0,15 %",25,"3,81 %",0,"0,00 %",92,"14,04 %",25,"3,81 %",10,"1,52 %",2,"0,30 %",6,"0,91 %",0,"0,00 %",2,"0,30 %",96,"14,65 %",0,"0,00 %",0,"0,00 %",59,"9,00 %",162,"24,73 %",2,"0,30 %",1,"0,15 %",9,"1,37 %",0,"0,00 %",2,"0,30 %",2,"0,30 %",3,"0,45 %",55,"8,39 %",3,"0,45 %"
539902,Zvole,1 284,944,934,185,"19,80 %",0,"0,00 %",0,"0,00 %",31,"3,31 %",1,"0,10 %",97,"10,38 %",27,"2,89 %",17,"1,82 %",8,"0,85 %",25,"2,67 %",1,"0,10 %",4,"0,42 %",148,"15,84 %",0,"0,00 %",1,"0,10 %",122,"13,06 %",183,"19,59 %",0,"0,00 %",1,"0,10 %",25,"2,67 %",0,"0,00 %",8,"0,85 %",3,"0,32 %",0,"0,00 %",45,"4,81 %",2,"0,21 %"
